id	sample	pdf	stem	hancomVersion	variant	sourceFormat	oracleRoot	family
samples/chart/분산형/표식만있는분산형.hwpx::pdf/chart/분산형/표식만있는분산형-2022.pdf	samples/chart/분산형/표식만있는분산형.hwpx	pdf/chart/분산형/표식만있는분산형-2022.pdf	표식만있는분산형	2022	2022	hwpx	pdf	dir:chart
samples/chart/세로막대형/3차원누적세로막대형.hwp::pdf/chart/세로막대형/3차원누적세로막대형-2022.pdf	samples/chart/세로막대형/3차원누적세로막대형.hwp	pdf/chart/세로막대형/3차원누적세로막대형-2022.pdf	3차원누적세로막대형	2022	2022	hwp	pdf	dir:chart
samples/chart/세로막대형/3차원누적세로막대형.hwpx::pdf/chart/세로막대형/3차원누적세로막대형-2022.pdf	samples/chart/세로막대형/3차원누적세로막대형.hwpx	pdf/chart/세로막대형/3차원누적세로막대형-2022.pdf	3차원누적세로막대형	2022	2022	hwpx	pdf	dir:chart
samples/chart/세로막대형/3차원묶은세로막대형.hwp::pdf/chart/세로막대형/3차원묶은세로막대형-2022.pdf	samples/chart/세로막대형/3차원묶은세로막대형.hwp	pdf/chart/세로막대형/3차원묶은세로막대형-2022.pdf	3차원묶은세로막대형	2022	2022	hwp	pdf	dir:chart
samples/chart/세로막대형/3차원묶은세로막대형.hwpx::pdf/chart/세로막대형/3차원묶은세로막대형-2022.pdf	samples/chart/세로막대형/3차원묶은세로막대형.hwpx	pdf/chart/세로막대형/3차원묶은세로막대형-2022.pdf	3차원묶은세로막대형	2022	2022	hwpx	pdf	dir:chart
samples/chart/세로막대형/누적세로막대형.hwp::pdf/chart/세로막대형/누적세로막대형-2022.pdf	samples/chart/세로막대형/누적세로막대형.hwp	pdf/chart/세로막대형/누적세로막대형-2022.pdf	누적세로막대형	2022	2022	hwp	pdf	dir:chart
samples/chart/세로막대형/누적세로막대형.hwpx::pdf/chart/세로막대형/누적세로막대형-2022.pdf	samples/chart/세로막대형/누적세로막대형.hwpx	pdf/chart/세로막대형/누적세로막대형-2022.pdf	누적세로막대형	2022	2022	hwpx	pdf	dir:chart
samples/chart/세로막대형/묶은세로막대형.hwp::pdf/chart/세로막대형/묶은세로막대형-2022.pdf	samples/chart/세로막대형/묶은세로막대형.hwp	pdf/chart/세로막대형/묶은세로막대형-2022.pdf	묶은세로막대형	2022	2022	hwp	pdf	dir:chart
samples/chart/세로막대형/묶은세로막대형.hwpx::pdf/chart/세로막대형/묶은세로막대형-2022.pdf	samples/chart/세로막대형/묶은세로막대형.hwpx	pdf/chart/세로막대형/묶은세로막대형-2022.pdf	묶은세로막대형	2022	2022	hwpx	pdf	dir:chart
samples/chart/세로막대형/백프로기준누적세로막대형.hwp::pdf/chart/세로막대형/백프로기준누적세로막대형-2022.pdf	samples/chart/세로막대형/백프로기준누적세로막대형.hwp	pdf/chart/세로막대형/백프로기준누적세로막대형-2022.pdf	백프로기준누적세로막대형	2022	2022	hwp	pdf	dir:chart
samples/chart/세로막대형/백프로기준누적세로막대형.hwpx::pdf/chart/세로막대형/백프로기준누적세로막대형-2022.pdf	samples/chart/세로막대형/백프로기준누적세로막대형.hwpx	pdf/chart/세로막대형/백프로기준누적세로막대형-2022.pdf	백프로기준누적세로막대형	2022	2022	hwpx	pdf	dir:chart
samples/chart/원형/2차원원형.hwp::pdf/chart/원형/2차원원형-2022.pdf	samples/chart/원형/2차원원형.hwp	pdf/chart/원형/2차원원형-2022.pdf	2차원원형	2022	2022	hwp	pdf	dir:chart
samples/chart/원형/2차원원형.hwpx::pdf/chart/원형/2차원원형-2022.pdf	samples/chart/원형/2차원원형.hwpx	pdf/chart/원형/2차원원형-2022.pdf	2차원원형	2022	2022	hwpx	pdf	dir:chart
samples/chart/원형/3차원원형.hwp::pdf/chart/원형/3차원원형-2022.pdf	samples/chart/원형/3차원원형.hwp	pdf/chart/원형/3차원원형-2022.pdf	3차원원형	2022	2022	hwp	pdf	dir:chart
samples/chart/원형/3차원원형.hwpx::pdf/chart/원형/3차원원형-2022.pdf	samples/chart/원형/3차원원형.hwpx	pdf/chart/원형/3차원원형-2022.pdf	3차원원형	2022	2022	hwpx	pdf	dir:chart
samples/chart/원형/원형대가로막대형.hwp::pdf/chart/원형/원형대가로막대형-2022.pdf	samples/chart/원형/원형대가로막대형.hwp	pdf/chart/원형/원형대가로막대형-2022.pdf	원형대가로막대형	2022	2022	hwp	pdf	dir:chart
samples/chart/원형/원형대가로막대형.hwpx::pdf/chart/원형/원형대가로막대형-2022.pdf	samples/chart/원형/원형대가로막대형.hwpx	pdf/chart/원형/원형대가로막대형-2022.pdf	원형대가로막대형	2022	2022	hwpx	pdf	dir:chart
samples/chart/원형/원형대원형.hwp::pdf/chart/원형/원형대원형-2022.pdf	samples/chart/원형/원형대원형.hwp	pdf/chart/원형/원형대원형-2022.pdf	원형대원형	2022	2022	hwp	pdf	dir:chart
samples/chart/원형/원형대원형.hwpx::pdf/chart/원형/원형대원형-2022.pdf	samples/chart/원형/원형대원형.hwpx	pdf/chart/원형/원형대원형-2022.pdf	원형대원형	2022	2022	hwpx	pdf	dir:chart
samples/chart/원형/쪼개진원형.hwp::pdf/chart/원형/쪼개진원형-2022.pdf	samples/chart/원형/쪼개진원형.hwp	pdf/chart/원형/쪼개진원형-2022.pdf	쪼개진원형	2022	2022	hwp	pdf	dir:chart
samples/chart/원형/쪼개진원형.hwpx::pdf/chart/원형/쪼개진원형-2022.pdf	samples/chart/원형/쪼개진원형.hwpx	pdf/chart/원형/쪼개진원형-2022.pdf	쪼개진원형	2022	2022	hwpx	pdf	dir:chart
samples/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목.hwp::pdf/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목-2022.pdf	samples/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목.hwp	pdf/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목-2022.pdf	가로막대형_하나만있을떄_단일시리즈제목	2022	2022	hwp	pdf	dir:chart
samples/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목.hwpx::pdf/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목-2022.pdf	samples/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목.hwpx	pdf/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목-2022.pdf	가로막대형_하나만있을떄_단일시리즈제목	2022	2022	hwpx	pdf	dir:chart
samples/draw-group.hwp::pdf/draw-group-2022.pdf	samples/draw-group.hwp	pdf/draw-group-2022.pdf	draw-group	2022	2022	hwp	pdf	other
samples/endnote-01.hwp::pdf/endnote-01-2022.pdf	samples/endnote-01.hwp	pdf/endnote-01-2022.pdf	endnote-01	2022	2022	hwp	pdf	other
samples/eq-01.hwp::pdf/eq-01-2022.pdf	samples/eq-01.hwp	pdf/eq-01-2022.pdf	eq-01	2022	2022	hwp	pdf	equation
samples/equation-lim.hwp::pdf/equation-lim-2022.pdf	samples/equation-lim.hwp	pdf/equation-lim-2022.pdf	equation-lim	2022	2022	hwp	pdf	equation
samples/exam_eng.hwp::pdf/exam_eng-2022.pdf	samples/exam_eng.hwp	pdf/exam_eng-2022.pdf	exam_eng	2022	2022	hwp	pdf	exam
samples/exam_kor.hwp::pdf/exam_kor-2022.pdf	samples/exam_kor.hwp	pdf/exam_kor-2022.pdf	exam_kor	2022	2022	hwp	pdf	exam
samples/exam_math.hwp::pdf/exam_math-2022.pdf	samples/exam_math.hwp	pdf/exam_math-2022.pdf	exam_math	2022	2022	hwp	pdf	exam
samples/exam_math_8.hwp::pdf/exam_math_8-2022.pdf	samples/exam_math_8.hwp	pdf/exam_math_8-2022.pdf	exam_math_8	2022	2022	hwp	pdf	exam
samples/exam_math_no.hwp::pdf/exam_math_no-2022.pdf	samples/exam_math_no.hwp	pdf/exam_math_no-2022.pdf	exam_math_no	2022	2022	hwp	pdf	exam
samples/exam_science.hwp::pdf/exam_science-2022.pdf	samples/exam_science.hwp	pdf/exam_science-2022.pdf	exam_science	2022	2022	hwp	pdf	exam
samples/exam_social.hwp::pdf/exam_social-2022.pdf	samples/exam_social.hwp	pdf/exam_social-2022.pdf	exam_social	2022	2022	hwp	pdf	exam
samples/field-01-memo.hwp::pdf/field-01-memo-2022.pdf	samples/field-01-memo.hwp	pdf/field-01-memo-2022.pdf	field-01-memo	2022	2022	hwp	pdf	other
samples/field-01.hwp::pdf/field-01-2022.pdf	samples/field-01.hwp	pdf/field-01-2022.pdf	field-01	2022	2022	hwp	pdf	other
samples/float-stack-defer.hwp::pdf/float-stack-defer-2022.pdf	samples/float-stack-defer.hwp	pdf/float-stack-defer-2022.pdf	float-stack-defer	2022	2022	hwp	pdf	other
samples/footnote-01.hwp::pdf/footnote-01-2022.pdf	samples/footnote-01.hwp	pdf/footnote-01-2022.pdf	footnote-01	2022	2022	hwp	pdf	footnote
samples/form-01.hwp::pdf/form-01-2022.pdf	samples/form-01.hwp	pdf/form-01-2022.pdf	form-01	2022	2022	hwp	pdf	form
samples/group-box.hwp::pdf/group-box-2022.pdf	samples/group-box.hwp	pdf/group-box-2022.pdf	group-box	2022	2022	hwp	pdf	other
samples/group-drawing-02.hwp::pdf/group-drawing-02-2022.pdf	samples/group-drawing-02.hwp	pdf/group-drawing-02-2022.pdf	group-drawing-02	2022	2022	hwp	pdf	other
samples/h-pen-01.hwp::pdf/h-pen-01-2022.pdf	samples/h-pen-01.hwp	pdf/h-pen-01-2022.pdf	h-pen-01	2022	2022	hwp	pdf	other
samples/hwp-img-001.hwp::pdf/hwp-img-001-2022.pdf	samples/hwp-img-001.hwp	pdf/hwp-img-001-2022.pdf	hwp-img-001	2022	2022	hwp	pdf	other
samples/hwp-multi-001.hwp::pdf/hwp-multi-001-2022.pdf	samples/hwp-multi-001.hwp	pdf/hwp-multi-001-2022.pdf	hwp-multi-001	2022	2022	hwp	pdf	other
samples/hwp-multi-002.hwp::pdf/hwp-multi-002-2022.pdf	samples/hwp-multi-002.hwp	pdf/hwp-multi-002-2022.pdf	hwp-multi-002	2022	2022	hwp	pdf	other
samples/hwp3-sample-hwp5.hwp::pdf/hwp3-sample-hwp5-2022.pdf	samples/hwp3-sample-hwp5.hwp	pdf/hwp3-sample-hwp5-2022.pdf	hwp3-sample-hwp5	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample-hwpx.hwpx::pdf/hwp3-sample-hwpx-2022.pdf	samples/hwp3-sample-hwpx.hwpx	pdf/hwp3-sample-hwpx-2022.pdf	hwp3-sample-hwpx	2022	2022	hwpx	pdf	hwp3
samples/hwp3-sample.hwp::pdf/hwp3-sample-2022.pdf	samples/hwp3-sample.hwp	pdf/hwp3-sample-2022.pdf	hwp3-sample	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample11.hwp::pdf/hwp3-sample11-2020.pdf	samples/hwp3-sample11.hwp	pdf/hwp3-sample11-2020.pdf	hwp3-sample11	2020	2020	hwp	pdf	hwp3
samples/hwp3-sample13-hwp5.hwp::pdf/hwp3-sample13-hwp5-2022.pdf	samples/hwp3-sample13-hwp5.hwp	pdf/hwp3-sample13-hwp5-2022.pdf	hwp3-sample13-hwp5	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample13-hwp5.hwpx::pdf/hwp3-sample13-hwp5-2022.pdf	samples/hwp3-sample13-hwp5.hwpx	pdf/hwp3-sample13-hwp5-2022.pdf	hwp3-sample13-hwp5	2022	2022	hwpx	pdf	hwp3
samples/hwp3-sample14-hwp5.hwp::pdf/hwp3-sample14-hwp5-2022.pdf	samples/hwp3-sample14-hwp5.hwp	pdf/hwp3-sample14-hwp5-2022.pdf	hwp3-sample14-hwp5	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample14-hwp5.hwpx::pdf/hwp3-sample14-hwp5-2022.pdf	samples/hwp3-sample14-hwp5.hwpx	pdf/hwp3-sample14-hwp5-2022.pdf	hwp3-sample14-hwp5	2022	2022	hwpx	pdf	hwp3
samples/hwp3-sample16-hwp5-2010.hwp::pdf/hwp3-sample16-hwp5-2010-2020.pdf	samples/hwp3-sample16-hwp5-2010.hwp	pdf/hwp3-sample16-hwp5-2010-2020.pdf	hwp3-sample16-hwp5-2010	2020	2020	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5-2018.hwp::pdf/hwp3-sample16-hwp5-2018-2020.pdf	samples/hwp3-sample16-hwp5-2018.hwp	pdf/hwp3-sample16-hwp5-2018-2020.pdf	hwp3-sample16-hwp5-2018	2020	2020	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5-2022.hwp::pdf/hwp3-sample16-hwp5-2022.pdf	samples/hwp3-sample16-hwp5-2022.hwp	pdf/hwp3-sample16-hwp5-2022.pdf	hwp3-sample16-hwp5-2022	2022	exact	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5-2022.hwp::pdf/hwp3-sample16-hwp5-2022-2020.pdf	samples/hwp3-sample16-hwp5-2022.hwp	pdf/hwp3-sample16-hwp5-2022-2020.pdf	hwp3-sample16-hwp5-2022	2020	2020	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5-2024.hwp::pdf/hwp3-sample16-hwp5-2024-2020.pdf	samples/hwp3-sample16-hwp5-2024.hwp	pdf/hwp3-sample16-hwp5-2024-2020.pdf	hwp3-sample16-hwp5-2024	2020	2020	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5.hwp::pdf/hwp3-sample16-hwp5-2022.pdf	samples/hwp3-sample16-hwp5.hwp	pdf/hwp3-sample16-hwp5-2022.pdf	hwp3-sample16-hwp5	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5.hwp::pdf/hwp3-sample16-hwp5-2020.pdf	samples/hwp3-sample16-hwp5.hwp	pdf/hwp3-sample16-hwp5-2020.pdf	hwp3-sample16-hwp5	2020	2020	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5.hwpx::pdf/hwp3-sample16-hwp5-2022.pdf	samples/hwp3-sample16-hwp5.hwpx	pdf/hwp3-sample16-hwp5-2022.pdf	hwp3-sample16-hwp5	2022	2022	hwpx	pdf	hwp3
samples/hwp3-sample16-hwp5.hwpx::pdf/hwp3-sample16-hwp5-2020.pdf	samples/hwp3-sample16-hwp5.hwpx	pdf/hwp3-sample16-hwp5-2020.pdf	hwp3-sample16-hwp5	2020	2020	hwpx	pdf	hwp3
samples/hwp3-sample16.hwp::pdf/hwp3-sample16-2020.pdf	samples/hwp3-sample16.hwp	pdf/hwp3-sample16-2020.pdf	hwp3-sample16	2020	2020	hwp	pdf	hwp3
samples/hwp3-sample19-hwp5.hwp::pdf/hwp3-sample19-hwp5-2022.pdf	samples/hwp3-sample19-hwp5.hwp	pdf/hwp3-sample19-hwp5-2022.pdf	hwp3-sample19-hwp5	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample4-hwp5.hwp::pdf/hwp3-sample4-hwp5-2022.pdf	samples/hwp3-sample4-hwp5.hwp	pdf/hwp3-sample4-hwp5-2022.pdf	hwp3-sample4-hwp5	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample4.hwp::pdf/hwp3-sample4-2022.pdf	samples/hwp3-sample4.hwp	pdf/hwp3-sample4-2022.pdf	hwp3-sample4	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample5-hwp5.hwp::pdf/hwp3-sample5-hwp5-2022.pdf	samples/hwp3-sample5-hwp5.hwp	pdf/hwp3-sample5-hwp5-2022.pdf	hwp3-sample5-hwp5	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample5-hwpx.hwpx::pdf/hwp3-sample5-hwpx-2022.pdf	samples/hwp3-sample5-hwpx.hwpx	pdf/hwp3-sample5-hwpx-2022.pdf	hwp3-sample5-hwpx	2022	2022	hwpx	pdf	hwp3
samples/hwp3-sample5.hwp::pdf/hwp3-sample5-2022.pdf	samples/hwp3-sample5.hwp	pdf/hwp3-sample5-2022.pdf	hwp3-sample5	2022	2022	hwp	pdf	hwp3
samples/hwp_table_test-m.hwp::pdf/hwp_table_test-m-2022.pdf	samples/hwp_table_test-m.hwp	pdf/hwp_table_test-m-2022.pdf	hwp_table_test-m	2022	2022	hwp	pdf	table
samples/hwp_table_test.hwp::pdf/hwp_table_test-2022.pdf	samples/hwp_table_test.hwp	pdf/hwp_table_test-2022.pdf	hwp_table_test	2022	2022	hwp	pdf	table
samples/hwpctl_Action_Table__v1.1.hwp::pdf/hwpctl_Action_Table__v1.1-2022.pdf	samples/hwpctl_Action_Table__v1.1.hwp	pdf/hwpctl_Action_Table__v1.1-2022.pdf	hwpctl_Action_Table__v1.1	2022	2022	hwp	pdf	table
samples/hwpctl_API_v2.4.hwp::pdf/hwpctl_API_v2.4-2022.pdf	samples/hwpctl_API_v2.4.hwp	pdf/hwpctl_API_v2.4-2022.pdf	hwpctl_API_v2.4	2022	2022	hwp	pdf	other
samples/hwpctl_ParameterSetID_Item_v1.2.hwp::pdf/hwpctl_ParameterSetID_Item_v1.2-2022.pdf	samples/hwpctl_ParameterSetID_Item_v1.2.hwp	pdf/hwpctl_ParameterSetID_Item_v1.2-2022.pdf	hwpctl_ParameterSetID_Item_v1.2	2022	2022	hwp	pdf	other
samples/hwpspec.hwp::pdf/hwpspec-2024.pdf	samples/hwpspec.hwp	pdf/hwpspec-2024.pdf	hwpspec	2024	2024	hwp	pdf	other
samples/hwpx/2024년 1분기 해외직접투자 보도자료 ff.hwp::pdf/hwpx/2024년 1분기 해외직접투자 보도자료 ff-2022.pdf	samples/hwpx/2024년 1분기 해외직접투자 보도자료 ff.hwp	pdf/hwpx/2024년 1분기 해외직접투자 보도자료 ff-2022.pdf	2024년 1분기 해외직접투자 보도자료 ff	2022	2022	hwp	pdf	hwpx_tree
samples/hwpx/2024년 1분기 해외직접투자 보도자료 ff.hwpx::pdf/hwpx/2024년 1분기 해외직접투자 보도자료 ff-2022.pdf	samples/hwpx/2024년 1분기 해외직접투자 보도자료 ff.hwpx	pdf/hwpx/2024년 1분기 해외직접투자 보도자료 ff-2022.pdf	2024년 1분기 해외직접투자 보도자료 ff	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/2024년 2분기 해외직접투자 보도자료ff.hwpx::pdf/hwpx/2024년 2분기 해외직접투자 보도자료ff-2022.pdf	samples/hwpx/2024년 2분기 해외직접투자 보도자료ff.hwpx	pdf/hwpx/2024년 2분기 해외직접투자 보도자료ff-2022.pdf	2024년 2분기 해외직접투자 보도자료ff	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/2024년 연간 해외직접투자 보도자료 _ ff.hwpx::pdf/hwpx/2024년 연간 해외직접투자 보도자료 _ ff-2022.pdf	samples/hwpx/2024년 연간 해외직접투자 보도자료 _ ff.hwpx	pdf/hwpx/2024년 연간 해외직접투자 보도자료 _ ff-2022.pdf	2024년 연간 해외직접투자 보도자료 _ ff	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/2025년 1분기 해외직접투자 보도자료f.hwpx::pdf/hwpx/2025년 1분기 해외직접투자 보도자료f-2022.pdf	samples/hwpx/2025년 1분기 해외직접투자 보도자료f.hwpx	pdf/hwpx/2025년 1분기 해외직접투자 보도자료f-2022.pdf	2025년 1분기 해외직접투자 보도자료f	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/2025년 2분기 해외직접투자 (최종).hwpx::pdf/hwpx/2025년 2분기 해외직접투자 (최종)-2022.pdf	samples/hwpx/2025년 2분기 해외직접투자 (최종).hwpx	pdf/hwpx/2025년 2분기 해외직접투자 (최종)-2022.pdf	2025년 2분기 해외직접투자 (최종)	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/aift.hwpx::pdf/hwpx/aift-2022.pdf	samples/hwpx/aift.hwpx	pdf/hwpx/aift-2022.pdf	aift	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/blank_hwpx.hwpx::pdf/hwpx/blank_hwpx-2022.pdf	samples/hwpx/blank_hwpx.hwpx	pdf/hwpx/blank_hwpx-2022.pdf	blank_hwpx	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/form-002.hwpx::pdf/hwpx/form-002-2022.pdf	samples/hwpx/form-002.hwpx	pdf/hwpx/form-002-2022.pdf	form-002	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/hwpx-01.hwpx::pdf/hwpx/hwpx-01-2022.pdf	samples/hwpx/hwpx-01.hwpx	pdf/hwpx/hwpx-01-2022.pdf	hwpx-01	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/hwpx-02.hwpx::pdf/hwpx/hwpx-02-2022.pdf	samples/hwpx/hwpx-02.hwpx	pdf/hwpx/hwpx-02-2022.pdf	hwpx-02	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/hwpx-h-01.hwpx::pdf/hwpx/hwpx-h-01-2022.pdf	samples/hwpx/hwpx-h-01.hwpx	pdf/hwpx/hwpx-h-01-2022.pdf	hwpx-h-01	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/hwpx-h-02.hwpx::pdf/hwpx/hwpx-h-02-2022.pdf	samples/hwpx/hwpx-h-02.hwpx	pdf/hwpx/hwpx-h-02-2022.pdf	hwpx-h-02	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/hwpx-h-03.hwpx::pdf/hwpx/hwpx-h-03-2022.pdf	samples/hwpx/hwpx-h-03.hwpx	pdf/hwpx/hwpx-h-03-2022.pdf	hwpx-h-03	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/issue_157.hwpx::pdf/hwpx/issue_157-2022.pdf	samples/hwpx/issue_157.hwpx	pdf/hwpx/issue_157-2022.pdf	issue_157	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/issue_241.hwpx::pdf/hwpx/issue_241-2022.pdf	samples/hwpx/issue_241.hwpx	pdf/hwpx/issue_241-2022.pdf	issue_241	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/mel-001.hwpx::pdf/hwpx/mel-001-2022.pdf	samples/hwpx/mel-001.hwpx	pdf/hwpx/mel-001-2022.pdf	mel-001	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/ref/ref_empty.hwpx::pdf/hwpx/ref/ref_empty-2022.pdf	samples/hwpx/ref/ref_empty.hwpx	pdf/hwpx/ref/ref_empty-2022.pdf	ref_empty	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/ref/ref_mixed.hwpx::pdf/hwpx/ref/ref_mixed-2022.pdf	samples/hwpx/ref/ref_mixed.hwpx	pdf/hwpx/ref/ref_mixed-2022.pdf	ref_mixed	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/ref/ref_table.hwpx::pdf/hwpx/ref/ref_table-2022.pdf	samples/hwpx/ref/ref_table.hwpx	pdf/hwpx/ref/ref_table-2022.pdf	ref_table	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/ref/ref_text.hwpx::pdf/hwpx/ref/ref_text-2022.pdf	samples/hwpx/ref/ref_text.hwpx	pdf/hwpx/ref/ref_text-2022.pdf	ref_text	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/table-text.hwpx::pdf/hwpx/table-text-2022.pdf	samples/hwpx/table-text.hwpx	pdf/hwpx/table-text-2022.pdf	table-text	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx/tbox-v-flow-01.hwpx::pdf/hwpx/tbox-v-flow-01-2022.pdf	samples/hwpx/tbox-v-flow-01.hwpx	pdf/hwpx/tbox-v-flow-01-2022.pdf	tbox-v-flow-01	2022	2022	hwpx	pdf	hwpx_tree
samples/hwpx_sample2.hwp::pdf/hwpx_sample2-2024.pdf	samples/hwpx_sample2.hwp	pdf/hwpx_sample2-2024.pdf	hwpx_sample2	2024	2024	hwp	pdf	other
samples/hwpx_sample2.hwp::pdf/hwpx_sample2-2020.pdf	samples/hwpx_sample2.hwp	pdf/hwpx_sample2-2020.pdf	hwpx_sample2	2020	2020	hwp	pdf	other
samples/hwpx_sample2.hwpx::pdf/hwpx_sample2-2024.pdf	samples/hwpx_sample2.hwpx	pdf/hwpx_sample2-2024.pdf	hwpx_sample2	2024	2024	hwpx	pdf	other
samples/hwpx_sample2.hwpx::pdf/hwpx_sample2-2020.pdf	samples/hwpx_sample2.hwpx	pdf/hwpx_sample2-2020.pdf	hwpx_sample2	2020	2020	hwpx	pdf	other
samples/img-start-001.hwp::pdf/img-start-001-2022.pdf	samples/img-start-001.hwp	pdf/img-start-001-2022.pdf	img-start-001	2022	2022	hwp	pdf	other
samples/inner-table-01.hwp::pdf/inner-table-01-2022.pdf	samples/inner-table-01.hwp	pdf/inner-table-01-2022.pdf	inner-table-01	2022	2022	hwp	pdf	table
samples/issue-505-equations.hwp::pdf/issue-505-equations-2022.pdf	samples/issue-505-equations.hwp	pdf/issue-505-equations-2022.pdf	issue-505-equations	2022	2022	hwp	pdf	equation
samples/issue1510_coanchored_float_tables.hwp::pdf/issue1510_coanchored_float_tables-hwp-2024.pdf	samples/issue1510_coanchored_float_tables.hwp	pdf/issue1510_coanchored_float_tables-hwp-2024.pdf	issue1510_coanchored_float_tables	2024	hwp-2024	hwp	pdf	table
samples/issue1510_coanchored_float_tables.hwpx::pdf/issue1510_coanchored_float_tables-hwpx-2024.pdf	samples/issue1510_coanchored_float_tables.hwpx	pdf/issue1510_coanchored_float_tables-hwpx-2024.pdf	issue1510_coanchored_float_tables	2024	hwpx-2024	hwpx	pdf	table
samples/issue1663_coanchored_float_orphan.hwpx::pdf/issue1663_coanchored_float_orphan-2024.pdf	samples/issue1663_coanchored_float_orphan.hwpx	pdf/issue1663_coanchored_float_orphan-2024.pdf	issue1663_coanchored_float_orphan	2024	2024	hwpx	pdf	issue
samples/issue1770_rowsplit_tolerance.hwpx::pdf/issue1770_rowsplit_tolerance-2024.pdf	samples/issue1770_rowsplit_tolerance.hwpx	pdf/issue1770_rowsplit_tolerance-2024.pdf	issue1770_rowsplit_tolerance	2024	2024	hwpx	pdf	issue
samples/issue1835_tac_stale_height.hwp::pdf/issue1835_tac_stale_height-2022.pdf	samples/issue1835_tac_stale_height.hwp	pdf/issue1835_tac_stale_height-2022.pdf	issue1835_tac_stale_height	2022	2022	hwp	pdf	issue
samples/issue1853_caption_precedes_body_split.hwpx::pdf/issue1853_caption_precedes_body_split-2024.pdf	samples/issue1853_caption_precedes_body_split.hwpx	pdf/issue1853_caption_precedes_body_split-2024.pdf	issue1853_caption_precedes_body_split	2024	2024	hwpx	pdf	issue
samples/issue1893_clickhere_field_roundtrip.hwpx::pdf/issue1893_clickhere_field_roundtrip-2022.pdf	samples/issue1893_clickhere_field_roundtrip.hwpx	pdf/issue1893_clickhere_field_roundtrip-2022.pdf	issue1893_clickhere_field_roundtrip	2022	2022	hwpx	pdf	issue
samples/issue1921/59043_regulatory_analysis.hwp::pdf/issue1921/59043_regulatory_analysis-2022.pdf	samples/issue1921/59043_regulatory_analysis.hwp	pdf/issue1921/59043_regulatory_analysis-2022.pdf	59043_regulatory_analysis	2022	2022	hwp	pdf	regulatory
samples/issue1949_giant_cell_nested_tables_perf.hwp::pdf/issue1949_giant_cell_nested_tables_perf-2024.pdf	samples/issue1949_giant_cell_nested_tables_perf.hwp	pdf/issue1949_giant_cell_nested_tables_perf-2024.pdf	issue1949_giant_cell_nested_tables_perf	2024	2024	hwp	pdf	table
samples/issue1949_giant_cell_nested_tables_perf.hwp::pdf/issue1949_giant_cell_nested_tables_perf-2020.pdf	samples/issue1949_giant_cell_nested_tables_perf.hwp	pdf/issue1949_giant_cell_nested_tables_perf-2020.pdf	issue1949_giant_cell_nested_tables_perf	2020	2020	hwp	pdf	table
